Program,xPONENT,,MAGPIX,,,,,,,,,,,,,
Build,4.2.1705.0,,,,,,,,,,,,,,,
Date,10/17/2020,12:28 pm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SN,MAGPX17237721,,,,,,,,,,,,,,,
Batch,201017_Repeats_plate5,,,,,,,,,,,,,,,
Version,1,,,,,,,,,,,,,,,
Operator,Tegwen,,,,,,,,,,,,,,,
ComputerName,MAGPIX-PC,,,,,,,,,,,,,,,
Country Code,409,,,,,,,,,,,,,,,
ProtocolName,Tegwen_13plex,,,,,,,,,,,,,,,
ProtocolVersion,1,,,,,,,,,,,,,,,
ProtocolDescription,,,,,,,,,,,,,,,,
ProtocolDevelopingCompany,,,,,,,,,,,,,,,,
SampleWash,Off,,,,,,,,,,,,,,,
SampleVolume,50 uL,,,,,,,,,,,,,,,
BatchStartTime,10/17/2020 12:29:20 PM,,,,,,,,,,,,,,,
BatchStopTime,10/17/2020 12:38:31 PM,,,,,,,,,,,,,,,
BatchDescription,<None>,,,,,,,,,,,,,,,
ProtocolPlate,Name,Mylar Plate,Type,96,Plates,1,,,,,,,,,,
ProtocolMicrosphere,Map,BP 50 regions,Type,MagPlex,Count,13,,,,,,,,,,
ProtocolAnalysis,Off,,,,,,,,,,,,,,,
NormBead,None,,,,,,,,,,,,,,,
ProtocolHeater,Off,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Most Recent Calibration and Verification Results:,,,,,,,,,,,,,,,,
Last CAL Calibration,Passed 10/17/2020 10:54:03,,,,,,,,,,,,,,,
Last VER Verification,Passed 10/17/2020 10:55:02,,,,,,,,,,,,,,,
Last Fluidics Test,Passed 10/17/2020 10:56:18,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CALInfo:,,,,,,,,,,,,,,,,
Calibrator,,,,,,,,,,,,,,,,
Lot,ExpirationDate,CalibrationTime,CL1Temp,CL2Temp,RP1LongTemp,RP1ShortTemp,CL1Current,CL2Current,RP1LongCurrent,RP1ShortCurrent,CL1Factor,CL2Factor,RP1LongFactor,RP1ShortFactor,Result,MachineSerialNo
B75277,06/25/2021,10/17/2020 10:54:03 AM,21.3,21.3,21.3,21.3,220,226,305,305,0.00705,0.00704,0.00394,0.11698,Pass,MAGPX17237721
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Samples,16,Min Events,50,Per Bead,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DataType:,Median,,,,,,,,,,,,,,,
Location,Sample,CRP,IL-8,sTNF-R1,IL-6,Ang-2,Ang-1,TRAIL,IL-10,sTREM1,IP-10,Azu,MxA,CH3L1,Total Events,
"1(1,A1)",DBS1,4371,164,65,46,65.5,320,59,89.5,113.5,75.5,1588,82,8054,1456,
"2(1,B1)",DBS2,7553,158,67,50,69,380,75,99,127,104,1477,120,8683.5,1874,
"3(1,C1)",DBS3,6876.5,113,47,37.5,54,591,48,106,111,42,1570.5,36,8381,1857,
"4(1,D1)",DBS4,4433.5,90,52,38,51,324,47,103,101,51.5,1491,34,8008,1626,
"5(1,E1)",High_DBS,9759,522,70,3100,1069,2132.5,547,739,299,351,1892,1628,12437,2183,
"6(1,F1)",Med_DBS,9697,277,59,1445,297,2025,300,406,295,154,1851,1230,12335,1997,
"7(1,G1)",Low_DBS,9494,226,63,326,258,1987.5,146.5,295,277.5,105,1896,602,11328,1904,
"8(1,H1)",Blank_DBS,8547.5,197,62,88,246,2050,119.5,282,273,115.5,1968.5,73,10233,2176,
"9(1,A2)",Std1,6819,7964,1158,6100,9855.5,7674,5434,7469,2831,9892,3869,2116,10905.5,1673,
"10(1,B2)",Std2,4672,5477,346,4724,5272,2960,2653.5,4479.5,1053,6660,4312,1830,10979,2036,
"11(1,C2)",Std3,2409.5,1942,111,2141,382.5,630,875.5,1898,305,1717,3424,1035.5,6467,1771,
"12(1,D2)",Std4,2049,498,71,767,171,211.5,235.5,617,163,377.5,3426,355.5,1432,1874,
"13(1,E2)",Std5,1398,178,61,231,80,103.5,76,217,143,106.5,2200,117.5,219,2405,
"14(1,F2)",Std6,1067,104,60.5,92,58,79,45,109,137.5,51,1637,56,62,2434,
"15(1,G2)",Std7,936,81.5,45,48,46,68.5,35,74,141,40,1266,38,40,1991,
"16(1,H2)",Std8,915,76,56,36,40,68.5,35,69.5,164,39,1257,32,37,1681,
,,,,,,,,,,,,,,,,
DataType:,Net MFI,,,,,,,,,,,,,,,
Location,Sample,CRP,IL-8,sTNF-R1,IL-6,Ang-2,Ang-1,TRAIL,IL-10,sTREM1,IP-10,Azu,MxA,CH3L1,Total Events,
"1(1,A1)",DBS1,4371,164,65,46,65.5,320,59,89.5,113.5,75.5,1588,82,8054,1456,
"2(1,B1)",DBS2,7553,158,67,50,69,380,75,99,127,104,1477,120,8683.5,1874,
"3(1,C1)",DBS3,6876.5,113,47,37.5,54,591,48,106,111,42,1570.5,36,8381,1857,
"4(1,D1)",DBS4,4433.5,90,52,38,51,324,47,103,101,51.5,1491,34,8008,1626,
"5(1,E1)",High_DBS,9759,522,70,3100,1069,2132.5,547,739,299,351,1892,1628,12437,2183,
"6(1,F1)",Med_DBS,9697,277,59,1445,297,2025,300,406,295,154,1851,1230,12335,1997,
"7(1,G1)",Low_DBS,9494,226,63,326,258,1987.5,146.5,295,277.5,105,1896,602,11328,1904,
"8(1,H1)",Blank_DBS,8547.5,197,62,88,246,2050,119.5,282,273,115.5,1968.5,73,10233,2176,
"9(1,A2)",Std1,6819,7964,1158,6100,9855.5,7674,5434,7469,2831,9892,3869,2116,10905.5,1673,
"10(1,B2)",Std2,4672,5477,346,4724,5272,2960,2653.5,4479.5,1053,6660,4312,1830,10979,2036,
"11(1,C2)",Std3,2409.5,1942,111,2141,382.5,630,875.5,1898,305,1717,3424,1035.5,6467,1771,
"12(1,D2)",Std4,2049,498,71,767,171,211.5,235.5,617,163,377.5,3426,355.5,1432,1874,
"13(1,E2)",Std5,1398,178,61,231,80,103.5,76,217,143,106.5,2200,117.5,219,2405,
"14(1,F2)",Std6,1067,104,60.5,92,58,79,45,109,137.5,51,1637,56,62,2434,
"15(1,G2)",Std7,936,81.5,45,48,46,68.5,35,74,141,40,1266,38,40,1991,
"16(1,H2)",Std8,915,76,56,36,40,68.5,35,69.5,164,39,1257,32,37,1681,
,,,,,,,,,,,,,,,,
DataType:,Count,,,,,,,,,,,,,,,
Location,Sample,CRP,IL-8,sTNF-R1,IL-6,Ang-2,Ang-1,TRAIL,IL-10,sTREM1,IP-10,Azu,MxA,CH3L1,Total Events,
"1(1,A1)",DBS1,117,89,167,106,94,94,116,96,94,110,135,111,127,1456,
"2(1,B1)",DBS2,166,105,208,118,123,139,137,125,137,138,151,175,152,1874,
"3(1,C1)",DBS3,144,137,222,116,122,108,143,115,150,121,126,192,161,1857,
"4(1,D1)",DBS4,120,109,183,104,105,90,148,88,131,134,129,161,124,1626,
"5(1,E1)",High_DBS,188,169,243,141,156,144,151,141,146,155,151,237,161,2183,
"6(1,F1)",Med_DBS,166,138,206,136,139,152,133,126,129,167,159,187,159,1997,
"7(1,G1)",Low_DBS,142,136,206,115,137,106,132,129,156,132,147,197,169,1904,
"8(1,H1)",Blank_DBS,172,137,213,160,141,144,152,172,155,190,164,209,167,2176,
"9(1,A2)",Std1,113,127,191,111,106,98,139,102,143,127,151,161,104,1673,
"10(1,B2)",Std2,153,175,201,127,147,101,176,148,135,176,157,181,159,2036,
"11(1,C2)",Std3,134,133,196,98,112,98,146,121,139,130,147,170,147,1771,
"12(1,D2)",Std4,137,127,212,132,112,128,142,113,135,154,167,200,115,1874,
"13(1,E2)",Std5,167,158,270,161,158,150,196,161,182,198,179,268,157,2405,
"14(1,F2)",Std6,187,142,306,157,162,143,169,157,178,183,209,262,179,2434,
"15(1,G2)",Std7,125,154,243,130,145,136,134,141,155,130,127,224,147,1991,
"16(1,H2)",Std8,115,111,185,111,108,98,124,118,137,139,140,169,126,1681,
,,,,,,,,,,,,,,,,
DataType:,Avg Net MFI,,,,,,,,,,,,,,,
Sample,CRP,IL-8,sTNF-R1,IL-6,Ang-2,Ang-1,TRAIL,IL-10,sTREM1,IP-10,Azu,MxA,CH3L1,,,
